"name","Store Number","latitude","longitude","url","sales_52w_py","CV ENERGY BOOST Sales","CV EXOTIC INDULGENCE Sales","CV ACAI ENERGIZE PWR Sales","CV PASSION BLISS Sales","CV FIT & WELLNESS Sales","CV CHIA SUPREMACY Sales","street_address","city","state","zip_code","country","phone_number_1","poblacion (10km)","digital_audience_facebook","digital_audience_instagram","digital_audience_twitter","digital_audience_linkedin","reviews","positive","negative","total_sales","campoverde_sales","digital_audience","Str #","sales_52w","var","sales_mix","velocity_ty_cv","velocity_ly","velocity_var","Qty TY","Qty LY","VAR","segment","sales_tier","",""
"Mexico Supercenter","11","39.120508","-91.890515","https://www.walmart.com/store/25/mexico-mo/details","15","","","","","","","4820 S Clark St","Mexico","MO","65265","US","573-581-4500","69379","26642","17761","15957","19426","222","109","113","29404256","1315384","154096","25","0","-100.00%","","0","0","0.00%","0","3","-100.00%","","Quartz","",""
"Salem Supercenter","12","37.634119","-91.546043","https://www.walmart.com/store/27/salem-mo/details","0","0","0","0","10","11","0","1101 W Highway 32","Salem","MO","65560","US","573-729-6151","136902","52570","35047","31487","38333","744","122","622","43558556","40267391","166696","27","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Miami Supercenter","13","36.904509","-94.880384","https://www.walmart.com/store/28/miami-ok/details","0","","","","","","","2415 N Main St","Miami","OK","74354","US","918-542-6654","61375","23568","15712","14116","17185","495","361","134","46698258","32960733","108023","28","76.79","100.00%","","0","1.48","-100.00%","7","0","100.00%","","Quartz","",""
"Dexter Supercenter","14","36.801185","-89.992373","https://www.walmart.com/store/30/dexter-mo/details","0","0","0","0","0","0","0","2025 W Business Us Highway 60","Dexter","MO","63841","US","573-624-5514","93315","35833","23889","21462","26128","792","706","86","26149489","45138193","105565","30","197.46","100.00%","","0","3.8","-100.00%","18","0","100.00%","","Quartz","",""
"Manhattan Supercenter","15","39.188472","-96.556204","https://www.walmart.com/store/35/manhattan-ks/details","176.16","","","","","","","101 Bluemont Ave","Manhattan","KS","66502","US","785-776-4897","72965","28019","18679","16782","20430","596","401","195","13208291","26334189","70728","35","0","-100.00%","","3.39","0","100.00%","0","18","-100.00%","","Amethyst","",""
"Paragould Supercenter","16","36.057305","-90.52294","https://www.walmart.com/store/36/paragould-ar/details","0","","","","","","","2802 W Kingshighway","Paragould","AR","72450","US","870-236-9707","97114","37292","24861","22336","27192","703","282","421","8464528","14260879","183526","36","383.95","100.00%","","0","7.38","-100.00%","35","0","100.00%","","Quartz","",""
"Farmington Supercenter","17","37.7894913","-90.4353609","https://www.walmart.com/store/37/farmington-mo/details","0","0","0","0","11","5","0","707 Walton Dr","Farmington","MO","63640","US","573-756-8448","124861","47947","31964","28718","34961","310","261","49","36048927","33542386","97770","37","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Bartlesville Supercenter","18","36.740695","-95.931584","https://www.walmart.com/store/41/bartlesville-ok/details","0","","","","","","","4000 Se Green Country Rd","Bartlesville","OK","74006","US","918-335-6600","76960","29553","19702","17701","21549","926","114","812","7873995","2534532","131868","41","219.4","100.00%","","0","4.22","-100.00%","20","0","100.00%","","Quartz","",""
"Coffeyville Supercenter","19","37.042359","-95.579038","https://www.walmart.com/store/42/coffeyville-ks/details","0","6","4","11","7","8","5","1863 Cr 5300","Coffeyville","KS","67337","US","620-251-4113","113453","43566","29044","26094","31767","571","115","456","27177809","26267182","102424","42","142.61","100.00%","","0","2.74","-100.00%","13","0","100.00%","","Quartz","",""
"Moberly Supercenter","20","39.4476727","-92.4204522","https://www.walmart.com/store/40/moberly-mo/details","0","","","","","","","1301 E Highway 24","Moberly","MO","65270","US","660-263-3113","78425","30115","20077","18038","21959","783","625","158","16937498","4402461","106669","40","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Jefferson City Supercenter","21","38.580049","-92.219907","https://www.walmart.com/store/29/jefferson-city-mo/details","49","0","0","0","0","0","0","724 Stadium West Blv","Jefferson City","MO","65109","US","573-635-8283","148600","57062","38042","34178","41608","219","185","34","3467704","46504065","71418","29","0","-100.00%","","0","0","0.00%","0","7","-100.00%","","Amethyst","",""
"Junction City Supercenter","22","39.018965","-96.820674","https://www.walmart.com/store/43/junction-city-ks/details","2105.84","0","0","0","12","10","0","521 E Chestnut St","Junction City","KS","66441","US","785-238-8229","70197","26956","17970","16145","19655","534","156","378","47286267","3433191","181365","43","1,448.47","-31.22%","","40.5","27.86","45.38%","131","196","-33.16%","","Topaz","",""
"Monett Supercenter","23","36.911771","-93.903147","https://www.walmart.com/store/48/monett-mo/details","0","0","0","0","10","0","8","885 E Us Highway 60","Monett","MO","65708","US","417-235-6292","137576","52829","35219","31642","38521","825","225","600","34193027","37914007","162037","48","241.34","100.00%","","0","4.64","-100.00%","22","0","100.00%","","Quartz","",""
"Vinita Supercenter","24","36.631855","-95.140418","https://www.walmart.com/store/50/vinita-ok/details","0","","","","","","","268 S 7th St","Vinita","OK","74301","US","918-256-7505","86097","33061","22041","19802","24107","112","100","12","26240072","5086795","174746","50","175.52","100.00%","","0","3.38","-100.00%","16","0","100.00%","","Quartz","",""
"Fulton Supercenter","25","38.864222","-91.945748","https://www.walmart.com/store/51/fulton-mo/details","0","0","0","0","0","0","0","1701 N Bluff St","Fulton","MO","65251","US","573-642-6877","101386","38932","25955","23319","28388","846","694","152","42119222","47362136","144967","51","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Troy Supercenter","26","38.988635","-90.982017","https://www.walmart.com/store/60/troy-mo/details","0","","","","","","","101 Highway 47 E","Troy","MO","63379","US","636-528-8901","83702","32142","21428","19251","23437","889","553","336","26326050","4828814","111476","60","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Joplin Supercenter","27","37.072928","-94.472782","https://www.walmart.com/store/59/joplin-mo/details","0","0","0","0","0","0","0","1501 S Range Line Rd","Joplin","MO","64804","US","417-781-0100","141544","54353","36235","32555","39632","210","176","34","34968197","39771248","193244","59","175.52","100.00%","","0","3.38","-100.00%","16","0","100.00%","","Quartz","",""
"Blytheville Supercenter","28","35.931083","-89.872175","https://www.walmart.com/store/62/blytheville-ar/details","0","0","0","0","1","6","0","3700 E Highway 18","Blytheville","AR","72315","US","870-763-0440","114116","43821","29214","26247","31952","875","454","421","38681453","36949194","181806","62","482.68","100.00%","","0","9.28","-100.00%","44","0","100.00%","","Quartz","",""
"Wynne Supercenter","29","35.253427","-90.777454","https://www.walmart.com/store/68/wynne-ar/details","0","0","0","0","0","0","0","800 Highway 64 E","Wynne","AR","72396","US","870-238-8129","65565","25177","16785","15080","18358","914","510","404","23174278","32955081","79910","68","131.64","100.00%","","0","2.53","-100.00%","12","0","100.00%","","Quartz","",""
"Brownsville Supercenter","30","35.5867","-89.238093","https://www.walmart.com/store/64/brownsville-tn/details","0","8","0","10","0","0","0","1100 S Dupree Ave","Brownsville","TN","38012","US","731-772-9551","144561","55511","37008","33249","40477","578","444","134","43858159","49673559","116458","64","537.53","100.00%","","0","10.34","-100.00%","49","0","100.00%","","Quartz","",""
"Sullivan Supercenter","31","38.22075","-91.154792","https://www.walmart.com/store/65/sullivan-mo/details","0","","","","","","","350 Park Ridge Rd","Sullivan","MO","63080","US","573-468-7030","91887","35285","23523","21134","25728","611","422","189","18538152","8356399","87198","65","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Festus Supercenter","32","38.211942","-90.387955","https://www.walmart.com/store/69/festus-mo/details","1536.77","","","","","","","650 S Truman Blvd","Festus","MO","63028","US","636-937-8441","55522","21320","14214","12770","15546","735","277","458","18053778","16180513","149062","69","344.69","-77.57%","","29.55","5.36","100.00%","32","161","-80.12%","","Topaz","",""
"Pittsburg Supercenter","33","37.433957","-94.702301","https://www.walmart.com/store/72/pittsburg-ks/details","0","","","","","","","2710 N Broadway St","Pittsburg","KS","66762","US","620-232-1593","92595","35556","23704","21297","25927","692","352","340","20589818","3184088","161641","72","120.67","100.00%","","0","2.32","-100.00%","11","0","100.00%","","Quartz","",""
"Osceola Supercenter","34","35.6999918","-90.0126791","https://www.walmart.com/store/74/osceola-ar/details","0","","","","","","","2720 W Keiser Ave","Osceola","AR","72370","US","870-563-3251","90644","34807","23205","20848","25380","967","177","790","41082274","12445508","128095","74","76.79","100.00%","","0","1.48","-100.00%","7","0","100.00%","","Quartz","",""
"West Memphis Supercenter","35","35.165456","-90.20001","https://www.walmart.com/store/70/west-memphis-ar/details","0","0","0","0","0","0","0","798 W Service Rd","West Memphis","AR","72301","US","870-732-0175","130872","50255","33503","30101","36644","769","424","345","6135097","18171686","60643","70","647.23","100.00%","","0","12.45","-100.00%","59","0","100.00%","","Quartz","",""
"Wagoner Supercenter","36","35.95667","-95.397539","https://www.walmart.com/store/63/wagoner-ok/details","0","7","0","14","0","14","0","410 S Dewey Ave","Wagoner","OK","74467","US","918-485-9515","58357","22409","14939","13422","16340","937","532","405","21587748","14564577","80133","63","197.46","100.00%","","0","3.8","-100.00%","18","0","100.00%","","Quartz","",""
"Pineville Supercenter","37","31.367011","-92.406583","https://www.walmart.com/store/75/pineville-la/details","3805.32","0","0","0","0","0","0","3636 Monroe Hwy","Pineville","LA","71360","US","318-640-6900","100264","38501","25668","23061","28074","847","158","689","26121407","11266382","152666","75","2,477.80","-34.89%","","73.18","47.65","53.58%","224","348","-35.63%","","Emerald","",""
"Taylor Supercenter","38","30.598559","-97.418418","https://www.walmart.com/store/77/taylor-tx/details","1251.38","","","","","","","3701 N Main St","Taylor","TX","76574","US","512-352-5505","66536","25550","17033","15303","18630","798","629","169","42911339","20682178","180349","77","1,077.09","-13.93%","","24.07","20.71","16.18%","98","115","-14.78%","","Amethyst","",""
"Columbia Supercenter","39","38.957069","-92.382341","https://www.walmart.com/store/80/columbia-mo/details","0","","","","","","","3001 W Broadway","Columbia","MO","65203","US","573-445-9506","147112","56491","37661","33836","41191","823","351","472","16173049","10939933","139225","80","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Joplin Supercenter","40","37.087131","-94.545908","https://www.walmart.com/store/79/joplin-mo/details","0","0","0","0","0","0","0","2623 W 7th St","Joplin","MO","64801","US","417-206-4644","141544","54353","36235","32555","39632","211","152","59","44858289","43338765","119898","79","131.64","100.00%","","0","2.53","-100.00%","12","0","100.00%","","Quartz","",""
"Perryville Supercenter","41","37.705668","-89.896103","https://www.walmart.com/store/82/perryville-mo/details","0","0","0","0","11","9","0","1750 S Perryville Blvd","Perryville","MO","63775","US","573-547-2577","79926","30692","20461","18383","22379","529","128","401","36604890","4834155","164165","82","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Minden Supercenter","42","32.6280728","-93.2511369","https://www.walmart.com/store/87/minden-la/details","0","0","0","0","5","8","0","1379 Homer Rd","Minden","LA","71055","US","318-371-9290","122770","47144","31429","28237","34376","790","384","406","4348890","6208559","178985","87","285.22","100.00%","","0","5.49","-100.00%","26","0","100.00%","","Quartz","",""
"Mountain Grove Supercenter","43","37.150021","-92.259461","https://www.walmart.com/store/88/mountain-grove-mo/details","0","0","0","11","26","94","0","2100 N Main Ave","Mountain Grove","MO","65711","US","417-926-5107","78178","30020","20014","17981","21890","630","374","256","9405605","41157920","190269","88","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Aurora Supercenter","44","36.946462","-93.714993","https://www.walmart.com/store/92/aurora-mo/details","0","","","","","","","3020 S Elliott Ave","Aurora","MO","65605","US","417-678-1258","80657","30972","20648","18551","22584","218","143","75","25508972","42571555","76274","92","54.85","100.00%","","0","1.05","-100.00%","5","0","100.00%","","Quartz","",""
"Camdenton Supercenter","45","38.025748","-92.722992","https://www.walmart.com/store/89/camdenton-mo/details","0","","","","","","","94 Cecil St","Camdenton","MO","65020","US","573-346-3588","149184","57287","38191","34312","41772","908","580","328","3475137","25793949","87396","89","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Grove Supercenter","46","36.5764748","-94.7656055","https://www.walmart.com/store/90/grove-ok/details","0","","","","","","","2115 S Main St","Grove","OK","74344","US","918-786-8561","113770","43688","29125","26167","31856","293","228","65","39887315","43535152","54276","90","208.43","100.00%","","0","4.01","-100.00%","19","0","100.00%","","Quartz","",""
"Covington Supercenter","47","35.545844","-89.665294","https://www.walmart.com/store/93/covington-tn/details","0","","","","","","","201 Lanny Bridges Ave","Covington","TN","38019","US","901-476-4492","55390","21270","14180","12740","15509","693","670","23","40794021","27003636","52217","93","548.5","100.00%","","0","10.55","-100.00%","50","0","100.00%","","Quartz","",""
"Forrest City Supercenter","48","35.028039","-90.793582","https://www.walmart.com/store/91/forrest-city-ar/details","0","0","0","0","11","11","0","205 Deadrick Rd","Forrest City","AR","72335","US","870-633-0021","95770","36776","24517","22027","26816","771","513","258","36667186","1134172","123481","91","394.92","100.00%","","0","7.59","-100.00%","36","0","100.00%","","Quartz","",""
"Millington Supercenter","49","35.357703","-89.897647","https://www.walmart.com/store/94/millington-tn/details","0","","","","","","","8445 Us Highway 51 N","Millington","TN","38053","US","901-872-6100","104026","39946","26631","23926","29127","572","233","339","5156564","38415442","60144","94","460.74","100.00%","","0","8.86","-100.00%","42","0","100.00%","","Quartz","",""
"Desloge Supercenter","50","37.883896","-90.513307","https://www.walmart.com/store/95/desloge-mo/details","0","0","0","0","8","8","0","407 No. State St","Desloge","MO","63601","US","573-431-5094","89947","34540","23026","20688","25185","991","596","395","26543810","49092853","163089","95","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Ripley Supercenter","51","35.760785","-89.543058","https://www.walmart.com/store/97/ripley-tn/details","0","0","0","0","0","0","0","628 Highway 51 N","Ripley","TN","38063","US","731-635-8904","139574","53596","35731","32102","39081","721","378","343","36506664","20496709","118083","97","263.28","100.00%","","0","5.06","-100.00%","24","0","100.00%","","Quartz","",""
"Union Supercenter","52","38.4344195","-90.9700946","https://www.walmart.com/store/99/union-mo/details","0","","","","","","","1445 E Central Ct","Union","MO","63084","US","636-583-2355","71656","27516","18344","16481","20064","882","443","439","39178444","26416560","176621","99","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Rolla Supercenter","53","37.937606","-91.779138","https://www.walmart.com/store/101/rolla-mo/details","0","","","","","","","500 S Bishop Ave","Rolla","MO","65401","US","573-341-9145","75974","29174","19449","17474","21273","932","173","759","36764772","2142818","198560","101","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Corinth Supercenter","54","34.910046","-88.502016","https://www.walmart.com/store/105/corinth-ms/details","0","","","","","","","2301 S Harper Rd","Corinth","MS","38834","US","662-287-3148","146144","56119","37413","33613","40920","388","274","114","22227241","21348611","106161","105","208.43","100.00%","","0","4.01","-100.00%","19","0","100.00%","","Quartz","",""
"Milan Supercenter","55","35.876197","-88.748089","https://www.walmart.com/store/104/milan-tn/details","0","","","","","","","15427 S First St","Milan","TN","38358","US","731-686-9557","93561","35927","23952","21519","26197","808","702","106","31277608","14811823","189413","104","340.07","100.00%","","0","6.54","-100.00%","31","0","100.00%","","Quartz","",""
"Fulton Supercenter","56","36.51749","-88.900147","https://www.walmart.com/store/106/fulton-ky/details","0","","","","","","","1405 Middle Rd","Fulton","KY","42041","US","270-472-1426","101386","38932","25955","23319","28388","535","244","291","28351871","10769241","170057","106","76.79","100.00%","","0","1.48","-100.00%","7","0","100.00%","","Quartz","",""
"Guthrie Supercenter","57","35.862878","-97.42269","https://www.walmart.com/store/108/guthrie-ok/details","0","","","","","","","1608 S Division St","Guthrie","OK","73044","US","405-282-7900","122093","46884","31256","28081","34186","252","183","69","29713659","48208268","167423","108","274.25","100.00%","","0","5.27","-100.00%","25","0","100.00%","","Quartz","",""
"Cameron Supercenter","58","39.758116","-94.231503","https://www.walmart.com/store/109/cameron-mo/details","52.56","","","","","","","2000 N Walnut St","Cameron","MO","64429","US","816-632-9900","67405","25884","17256","15503","18873","906","771","135","39944036","7074404","193541","109","0","-100.00%","","0","0","0.00%","0","9","-100.00%","","Amethyst","",""
"Winter Garden Supercenter","59","28.476488","-81.629452","https://www.walmart.com/store/110/winter-garden-fl/details","7257.32","0","0","0","9","7","0","16313 New Independence Parkway","Winter Garden","FL","34787","US","407-554-0182","149475","57398","38266","34379","41853","517","376","141","8376578","20818785","57658","110","8,130.78","12.04%","","139.56","156.36","-10.74%","735","652","12.73%","","Diamond","",""
"Chanute Supercenter","60","37.65365","-95.450998","https://www.walmart.com/store/111/chanute-ks/details","0","0","0","0","0","0","0","2700 S Santa Fe Ave","Chanute","KS","66720","US","620-431-3077","139058","53398","35599","31983","38936","785","636","149","18548607","18905460","76112","111","164.55","100.00%","","0","3.16","-100.00%","15","0","100.00%","","Quartz","",""
"Starkville Supercenter","61","33.444519","-88.851436","https://www.walmart.com/store/112/starkville-ms/details","0","","","","","","","1010 Highway 12 W","Starkville","MS","39759","US","662-324-0374","95203","36558","24372","21897","26657","395","213","182","27563355","49081254","131243","112","570.44","100.00%","","0","10.97","-100.00%","52","0","100.00%","","Quartz","",""
"Booneville Supercenter","62","34.677408","-88.56422","https://www.walmart.com/store/114/booneville-ms/details","0","9","0","6","13","7","9","300 Walmart Cir","Booneville","MS","38829","US","662-728-6211","88019","33799","22533","20244","24645","387","252","135","12743375","47090609","152093","114","76.79","100.00%","","0","1.48","-100.00%","7","0","100.00%","","Quartz","",""
"West Point Supercenter","63","33.586655","-88.661913","https://www.walmart.com/store/115/west-point-ms/details","0","0","0","0","11","7","0","5509 Highway 45 Alt S","West Point","MS","39773","US","662-494-1551","97251","37344","24896","22368","27230","193","113","80","2981604","29624400","130966","115","208.43","100.00%","","0","4.01","-100.00%","19","0","100.00%","","Quartz","",""
"Amory Supercenter","64","33.968526","-88.457017","https://www.walmart.com/store/118/amory-ms/details","0","8","0","13","8","14","6","1515 Highway 278 E","Amory","MS","38821","US","662-256-1590","145541","55888","37258","33474","40751","729","293","436","44521198","29338845","108762","118","285.22","100.00%","","0","5.49","-100.00%","26","0","100.00%","","Quartz","",""
"Okmulgee Supercenter","65","35.605657","-95.964357","https://www.walmart.com/store/121/okmulgee-ok/details","0","0","0","0","0","0","0","1800 S Wood Dr","Okmulgee","OK","74447","US","918-756-6790","58390","22422","14948","13430","16349","754","449","305","14922972","48729820","118943","121","109.7","100.00%","","0","2.11","-100.00%","10","0","100.00%","","Quartz","",""
"Martin Supercenter","66","36.355005","-88.883642","https://www.walmart.com/store/107/martin-tn/details","0","","","","","","","134 Courtright Rd","Martin","TN","38237","US","731-587-3843","71537","27470","18313","16454","20030","701","419","282","42585199","11409581","72254","107","230.37","100.00%","","0","4.43","-100.00%","21","0","100.00%","","Quartz","",""
"Jackson Supercenter","67","37.362068","-89.634627","https://www.walmart.com/store/122/jackson-mo/details","1486.14","","","","","","","3051 E Jackson Blvd","Jackson","MO","63755","US","573-243-3909","80101","30759","20506","18423","22428","386","338","48","44201213","11202491","126436","122","1,747.79","17.61%","","28.58","33.61","-14.97%","159","135","17.78%","","Amethyst","",""
"Humboldt Supercenter","68","35.840815","-88.911782","https://www.walmart.com/store/120/humboldt-tn/details","0","8","0","4","0","0","0","2716 N Central Ave","Humboldt","TN","38343","US","731-784-0025","61094","23460","15640","14052","17106","704","413","291","2357157","36349724","162190","120","296.19","100.00%","","0","5.7","-100.00%","27","0","100.00%","","Quartz","",""
"Seminole Supercenter","69","35.248317","-96.654501","https://www.walmart.com/store/123/seminole-ok/details","0","2","3","7","6","6","8","1500 E Wrangler Blvd","Seminole","OK","74868","US","405-382-5290","132080","50719","33812","30378","36982","677","506","171","5852828","36526379","94720","123","252.31","100.00%","","0","4.85","-100.00%","23","0","100.00%","","Quartz","",""
"Kingfisher Supercenter","70","35.8287229","-97.9367127","https://www.walmart.com/store/132/kingfisher-ok/details","0","0","6","19","17","0","17","200 Starlite Dr","Kingfisher","OK","73750","US","405-375-5743","50728","19480","12986","11667","14204","607","284","323","6290310","46993311","100500","132","153.58","100.00%","","0","2.95","-100.00%","14","0","100.00%","","Quartz","",""
"Mount Pleasant Supercenter","71","33.134578","-94.964667","https://www.walmart.com/store/131/mount-pleasant-tx/details","0","","","","","","","2311 S Jefferson Ave","Mount Pleasant","TX","75455","US","903-572-0018","56490","21692","14461","12993","15817","257","205","52","4643506","18663621","68012","131","318.13","100.00%","","0","6.12","-100.00%","29","0","100.00%","","Quartz","",""
"Chillicothe Supercenter","72","39.7765306","-93.55634","https://www.walmart.com/store/135/chillicothe-mo/details","1","0","0","0","0","11","0","1000 Graves St","Chillicothe","MO","64601","US","660-646-6000","73455","28207","18804","16895","20567","803","788","15","29948410","19245171","91566","135","0","-100.00%","","0","0","0.00%","0","1","-100.00%","","Quartz","",""
"Stillwater Supercenter","73","36.124523","-97.048223","https://www.walmart.com/store/137/stillwater-ok/details","0","","","","","","","111 N Perkins Rd","Stillwater","OK","74075","US","405-372-2897","69702","26766","17844","16031","19517","433","293","140","21537865","37946622","82798","137","98.73","100.00%","","0","1.9","-100.00%","9","0","100.00%","","Quartz","",""
"Lufkin Supercenter","74","31.299557","-94.731474","https://www.walmart.com/store/140/lufkin-tx/details","374.52","3","0","4","0","0","0","2500 Daniel Mccall Dr","Lufkin","TX","75904","US","936-639-9600","86434","33191","22127","19880","24202","350","284","66","33379593","7372836","134681","140","329.1","-12.13%","","7.2","6.33","13.80%","30","42","-28.57%","","Amethyst","",""
"Benton Supercenter","75","36.869615","-88.360427","https://www.walmart.com/store/143/benton-ky/details","0","53","9","62","48","52","0","310 W 5th St","Benton","KY","42025","US","270-527-1605","137188","52680","35120","31553","38413","110","102","8","39644099","47023026","182045","143","230.37","100.00%","","0","4.43","-100.00%","21","0","100.00%","","Quartz","",""
"Paris Supercenter","76","33.664699","-95.505897","https://www.walmart.com/store/148/paris-tx/details","0","","","","","","","3855 Lamar Ave","Paris","TX","75462","US","903-785-7168","108045","41489","27660","24850","30253","816","465","351","38939884","36817134","167292","148","274.25","100.00%","","0","5.27","-100.00%","25","0","100.00%","","Quartz","",""
"Woodward Supercenter","77","36.412341","-99.384178","https://www.walmart.com/store/150/woodward-ok/details","0","0","0","35","27","5","31","3215 Williams Ave","Woodward","OK","73801","US","580-254-3331","127644","49015","32677","29358","35740","855","250","605","36288104","3560197","112599","150","263.28","100.00%","","0","5.06","-100.00%","24","0","100.00%","","Quartz","",""
"Bowling Green Supercenter","78","39.330546","-91.181652","https://www.walmart.com/store/145/bowling-green-mo/details","0","","","","","","","3 Town Center Dr","Bowling Green","MO","63334","US","573-324-0040","112337","43137","28758","25838","31454","318","260","58","17999339","2769363","162502","145","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
"Jonesboro Supercenter","79","32.227952","-92.705761","https://www.walmart.com/store/149/jonesboro-la/details","80.64","0","0","0","5","7","0","184 Old Winnfield Rd","Jonesboro","LA","71251","US","318-259-4149","55742","21405","14270","12821","15608","727","643","84","38854368","17818549","162759","149","153.58","90.45%","","1.55","2.95","-47.49%","14","12","16.67%","","Amethyst","",""
"Mcalester Supercenter","80","34.9192022","-95.7404781","https://www.walmart.com/store/151/mcalester-ok/details","0","0","0","0","0","0","0","432 S George Nigh Expy","Mcalester","OK","74501","US","918-423-8585","56727","21783","14522","13047","15884","302","294","8","8689645","26616037","126446","151","263.28","100.00%","","0","5.06","-100.00%","24","0","100.00%","","Quartz","",""
"De Soto Supercenter","81","38.150177","-90.574504","https://www.walmart.com/store/152/de-soto-mo/details","0","","","","","","","12862 State Route 21","De Soto","MO","63020","US","636-586-6878","64929","24933","16622","14934","18180","758","262","496","45812733","6437524","117541","152","0","0.00%","","0","0","0.00%","0","0","0.00%","","Quartz","",""
